Data,DataExcel,Regiao,Sistema,Classe,TipoConsumidor,Consumo,Consumidores,DataVersao
20250401,2025-04-01,Norte,SISTEMAS ISOLADOS,Comercial,Cativo,41226.382999999994,42593,2025-07-21
20250401,2025-04-01,Norte,SISTEMAS ISOLADOS,Industrial,Cativo,6236.217999999999,727,2025-07-21
20250401,2025-04-01,Norte,SISTEMAS ISOLADOS,Industrial,Livre,4434.33,1,2025-07-21
20250401,2025-04-01,Norte,SISTEMAS ISOLADOS,Outros,Cativo,42309.151999999995,13573,2025-07-21
20250401,2025-04-01,Norte,SISTEMAS ISOLADOS,Residencial,Cativo,129651.273,595536,2025-07-21
20250401,2025-04-01,Norte,SISTEMAS ISOLADOS,Rural,Cativo,7431.373,41061,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Comercial,Cativo,58282.319,68709,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Comercial,Livre,25974.787,341,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Industrial,Cativo,11255.032,2634,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Industrial,Livre,37296.7,110,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Outros,Cativo,51086.37299999999,9643,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Outros,Livre,2131.3360000000002,11,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Residencial,Cativo,197762.487,807800,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Rural,Cativo,33871.061,126942,2025-07-21
20250401,2025-04-01,Norte,SUDESTE / CENTRO - OESTE,Rural,Livre,139.712,5,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,2365989.218,2741644,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,2267877.8380000005,22966,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,418219.923,129722,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,7959524.527000001,12754,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,1367012.4880000004,302050,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Outros,Livre,594871.8910000001,1510,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,6639882.230000001,36746759,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,1475.717,48,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Rural,Cativo,570649.0599999999,984475,2025-07-21
20250401,2025-04-01,Sudeste,SUDESTE / CENTRO - OESTE,Rural,Livre,142992.135,857,2025-07-21
20250401,2025-04-01,Sul,SUL,Comercial,Cativo,972407.6429999999,1150274,2025-07-21
20250401,2025-04-01,Sul,SUL,Comercial,Livre,625512.666,7586,2025-07-21
20250401,2025-04-01,Sul,SUL,Industrial,Cativo,324863.88200000004,227236,2025-07-21
20250401,2025-04-01,Sul,SUL,Industrial,Livre,2912431.684,7102,2025-07-21
20250401,2025-04-01,Sul,SUL,Outros,Cativo,482906.8810000001,132754,2025-07-21
20250401,2025-04-01,Sul,SUL,Outros,Livre,131582.533,1212,2025-07-21
20250401,2025-04-01,Sul,SUL,Residencial,Cativo,2370844.565,11735679,2025-07-21
20250401,2025-04-01,Sul,SUL,Residencial,Livre,131.103,7,2025-07-21
20250401,2025-04-01,Sul,SUL,Rural,Cativo,559841.1100000001,849384,2025-07-21
20250401,2025-04-01,Sul,SUL,Rural,Livre,363118.842,526,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,446713.803,496842,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,268481.29000000004,3193,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,69096.109,30065,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,887200.742,1219,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,342621.647,63540,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Livre,53519.091,398,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,1470251.865,6500473,2025-07-21
20250301,2025-03-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,118.0,10,2025-07-21
